title,abstract
Chess piece relative value,"In chess, the chess piece relative value  system conventionally assigns a point value to each  piece when assessing its relative strength in potential exchanges.  These values help determine how valuable a piece is strategically."
"Lasker versus Bauer, Amsterdam, 1889","The chess game between Emanuel Lasker and Johann Bauer played in Amsterdam in 1889 is one of the most famous on account of Lasker's sacrifice of both bishops to eliminate the pawn cover around his opponent's king, winning material and the game.Lasker–Bauer, 1889 game at ChessGames."
International Computer Games Association,The International Computer Games Association (ICGA) was founded as the International Computer Chess Association (ICCA) in 1977 by computer chess programmers to organise championship events for computer programs and to facilitate the sharing of technical knowledge via the ICCA Journal.
ICCF numeric notation,"ICCF numeric notation is the official chess game notation for all International Correspondence Chess Federation games. This is because in international correspondence chess the use of algebraic notation may cause confusion, since different languages have different names (and therefore different initials) for the pieces."
Janus Chess,"Janus Chess is a chess variant invented in 1978 by Werner Schöndorf from Bildstock, Germany. It is played on a 10×8 board and features a fairy chess piece, the janus, with the combined moves of a bishop and a knight."
Scholastic chess in the United States,"Scholastic chess in the United States has progressively grown in recent years, evidenced by the increasing membership numbers of school-aged children in the United States Chess Federation. The onset of scholastic chess in the United States began in the early 1970s due to the ""Fischer Boom"", the phenomenon of markedly increased interest in chess in the United States due to the ascendency of eventual world champion Bobby Fischer."
SmarThink,SmarThink is a computer chess engine written by Sergei S. Markoff of Russia.
Konstantin Aseev,"Konstantin Aseev (October 20, 1960 – August 22, 2004) was a Russian chess Grandmaster and trainer."
Hippopotamus Defence,"The Hippopotamus Defence is a name for various irregular chess opening systems in which Black moves a number of his pawns to the sixth rank, often developing his pieces to the seventh rank, and does not move any of his pawns to the fifth rank in the opening."
Nava Starr,"Nava Starr (née Shterenberg; April 4, 1949 in Riga, Latvia) is a Canadian chess player holding the title of Woman International Master (WIM). She is an eight-time Canadian ladies' champion, has represented Canada 13 times in the Women's Chess Olympiad, and six times in the Women's World Championship."
Natalia Khoudgarian,Natalia Khoudgarian (born 1973 in Moscow) is a Russian-born Canadian chess player holding the FIDE title of Woman International Master (WIM).
Hypermodernism,"Hypermodernism is a school of chess that emerged after World War I. It featured challenges to the chess ideas of central European masters, including Wilhelm Steinitz's approach to the centre and the rules established by Siegbert Tarrasch."
Build order,"In strategy computer games, of both the turn-based and real-time varieties, a build order is a linear pattern of production, research, and resource management aimed at achieving a specific and specialized goal. They are analogous to chess openings, in that a player will have a specific order of play in mind, however the amount the build order, the strategy around which the build order is built or even which build order is then used varies on the skill, ability and other factors such as how aggressive or defensive each player is."
Chilean Chess Championship,The Chilean Chess Championship is the national chess championship of Chile organised by the FENACH (Federacion Nacional de Ajedrez de Chile).  In 2004-2006 there was also a championship organised by the FEDAC (Federación Deportiva de Ajedrez de Chile).
Sittuyin,"Sittuyin (), also known as Burmese chess, is a variant of chess that is a direct offspring of the Indian game of chaturanga which arrived in 8th century AD. Sit is the modern Burmese word for army or war ; the word sittuyin can be translated as representation of the four characteristics of army—chariot, elephant, cavalry and infantry."
The Crooked Hinge,"The Crooked Hinge is a mystery novel (1938) by detective novelist John Dickson Carr.  It combines a seemingly impossible throat-slashing with elements of witchcraft, an automaton modelled on Maelzel's Chess Player, and the story of the Tichborne Claimant."
36th Chess Olympiad,"The 36th Chess Olympiad, organized by the Fédération Internationale des Échecs (FIDE) and comprising an openAlthough commonly referred to as the men's division, this section is open to both male and female players. and a women's tournament, as well as several events designed to promote the game of chess, took place between October 14 and October 31, 2004, in Calvià on the Spanish island of Majorca."
